,name,Worldwide_Box_Office,number_of_movies,average_box,link
6121,Rami Jaber,"$854,752",1,"$854,752",https://www.the-numbers.com/person/1915630401-Rami-Jaber
6122,Mike Angelo,"$854,752",1,"$854,752",https://www.the-numbers.com/person/1600650401-Mike-Angelo
6123,Anna Pniowsky,"$851,969",1,"$851,969",https://www.the-numbers.com/person/1535750401-Anna-Pniowsky
6124,Clare Dunne,"$848,571",1,"$848,571",https://www.the-numbers.com/person/1608230401-Clare-Dunne
6125,Jon Avner,"$847,106",1,"$847,106",https://www.the-numbers.com/person/1772460401-Jon-Avner
6126,Grace Victoria Cox,"$847,106",1,"$847,106",https://www.the-numbers.com/person/1488570401-Grace-Victoria-Cox
6127,Shakina Nayfack,"$847,106",1,"$847,106",https://www.the-numbers.com/person/1772470401-Shakina-Nayfack
6128,Gigio Alberti,"$846,920",1,"$846,920",https://www.the-numbers.com/person/966620401-Gigio-Alberti
6129,Giovanni Anzaldo,"$846,920",1,"$846,920",https://www.the-numbers.com/person/966590401-Giovanni-Anzaldo
6130,Bebo Storti,"$846,920",1,"$846,920",https://www.the-numbers.com/person/966630401-Bebo-Storti
6131,Matilde Gioli,"$846,920",1,"$846,920",https://www.the-numbers.com/person/966600401-Matilde-Gioli
6132,Fabrizio Bentivoglio,"$846,920",1,"$846,920",https://www.the-numbers.com/person/966560401-Fabrizio-Bentivoglio
6133,Guglielmo Pinelli,"$846,920",1,"$846,920",https://www.the-numbers.com/person/966610401-Guglielmo-Pinelli
6134,Fabrizio Gifuni,"$846,920",1,"$846,920",https://www.the-numbers.com/person/177180401-Fabrizio-Gifuni
6135,Stana Katic,"$844,254",3,"$281,418",https://www.the-numbers.com/person/75410401-Stana-Katic
6136,David Sullivan,"$841,926",2,"$420,963",https://www.the-numbers.com/person/138880401-David-Sullivan
6137,India Eisley,"$841,236",3,"$280,412",https://www.the-numbers.com/person/313850401-India-Eisley
6138,Nikolaj Lie Kaas,"$839,253",2,"$419,627",https://www.the-numbers.com/person/74330401-Nikolaj-Lie-Kaas
6139,Maria Mozhdah,"$837,149",1,"$837,149",https://www.the-numbers.com/person/1501980401-Maria-Mozhdah
6140,Ingvar Sigurdsson,"$836,928",1,"$836,928",https://www.the-numbers.com/person/1661680401-Ingvar-Sigurdsson
6141,Ãda MekkÃ­n HlynsdÃ³ttir,"$836,928",1,"$836,928",https://www.the-numbers.com/person/1661690401-A-da-MekkA-n-HlynsdA3ttir
6142,Rima Kallingal,"$836,670",1,"$836,670",https://www.the-numbers.com/person/410890401-Rima-Kallingal
6143,Asif Ali,"$836,670",1,"$836,670",https://www.the-numbers.com/person/410860401-Asif-Ali
6144,Remya Nambeesan,"$836,670",1,"$836,670",https://www.the-numbers.com/person/410900401-Remya-Nambeesan
6145,Lal,"$836,670",1,"$836,670",https://www.the-numbers.com/person/410870401-Lal
6146,Praveena,"$836,670",1,"$836,670",https://www.the-numbers.com/person/410910401-Praveena
6147,Indrajith,"$836,670",1,"$836,670",https://www.the-numbers.com/person/410840401-Indrajith
