,name,Worldwide_Box_Office,number_of_movies,average_box,link
2581,Vertical Entertainment,"$6,737,879",57,"$15,324,481",https://www.the-numbers.com/movies/production-company/Vertical-Entertainment
2582,Breakthru Films,"$6,735,118",1,"$44,077,249",https://www.the-numbers.com/movies/production-company/Breakthru-Films
2583,127 Wall,"$6,708,137",1,"$13,316,627",https://www.the-numbers.com/movies/production-company/127-Wall
2584,Houston King Productions,"$6,697,218",4,"$6,860,379",https://www.the-numbers.com/movies/production-company/Houston-King-Productions
2585,Cre Films,"$6,696,986",5,"$12,320,762",https://www.the-numbers.com/movies/production-company/Cre-Films
2586,Nexus Factory,"$6,686,821",11,"$160,569,779",https://www.the-numbers.com/movies/production-company/Nexus-Factory
2587,Secret Public Productions,"$6,684,049",2,"$6,684,049",https://www.the-numbers.com/movies/production-company/Secret-Public-Productions
2588,Another Park Film,"$6,670,765",1,"$43,164,679",https://www.the-numbers.com/movies/production-company/Another-Park-Film
2589,Topic Studios,"$6,641,946",2,"$10,599,277",https://www.the-numbers.com/movies/production-company/Topic-Studios
2590,HessenFilm und Medien,"$6,641,946",1,"$10,599,277",https://www.the-numbers.com/movies/production-company/HessenFilm-und-Medien
2591,Freestyle Picture Co. ,"$6,619,362",3,"$12,243,138",https://www.the-numbers.com/movies/production-company/Freestyle-Picture-Co
2592,42 Sunnymarch,"$6,613,432",1,"$20,830,077",https://www.the-numbers.com/movies/production-company/42-Sunnymarch
2593,Bona International Film Group,"$6,594,959",2,"$79,957,299",https://www.the-numbers.com/movies/production-company/Bona-International-Film-Group
2594,Jet Tone Films,"$6,594,959",1,"$57,987,299",https://www.the-numbers.com/movies/production-company/Jet-Tone-Films
2595,Block 2 Pictures,"$6,594,959",1,"$57,987,299",https://www.the-numbers.com/movies/production-company/Block-2-Pictures
2596,Moho Films,"$6,569,817",2,"$125,379,245",https://www.the-numbers.com/movies/production-company/Moho-Films
2597,SLB Films,"$6,557,047",2,"$9,517,002",https://www.the-numbers.com/movies/production-company/SLB-Films
2598,"Winter's Bone Productions, LLC. ","$6,531,503",1,"$16,131,551",https://www.the-numbers.com/movies/production-company/Winter-s-Bone-Productions-LLC
2599,Ocean Blue Entertainment,"$6,529,509",4,"$7,373,393",https://www.the-numbers.com/movies/production-company/Ocean-Blue-Entertainment
2600,Metanoia Films,"$6,485,961",1,"$17,769,299",https://www.the-numbers.com/movies/production-company/Metanoia-Films
2601,Prospero Pictures,"$6,445,719",4,"$21,668,155",https://www.the-numbers.com/movies/production-company/Prospero-Pictures
2602,SModcast Pictures,"$6,411,473",2,"$6,598,061",https://www.the-numbers.com/movies/production-company/SModcast-Pictures
2603,Matt Baer Films,"$6,404,009",2,"$7,244,657",https://www.the-numbers.com/movies/production-company/Matt-Baer-Films
2604,Sweetheart Productions,"$6,401,297",1,"$26,000,000",https://www.the-numbers.com/movies/production-company/Sweetheart-Productions
2605,Movie Plus,"$6,394,531",3,"$8,864,724",https://www.the-numbers.com/movies/production-company/Movie-Plus
2606,Sudden Storm Entertainment,"$6,371,623",3,"$10,494,767",https://www.the-numbers.com/movies/production-company/Sudden-Storm-Entertainment
2607,State Run Films,"$6,352,306",1,"$6,653,715",https://www.the-numbers.com/movies/production-company/State-Run-Films
2608,Pictures in Paradise,"$6,341,872",4,"$63,407,443",https://www.the-numbers.com/movies/production-company/Pictures-in-Paradise
2609,Citadel Canadian Films,"$6,257,856",2,"$11,937,433",https://www.the-numbers.com/movies/production-company/Citadel-Canadian-Films
2610,Shenghua Entertainment,"$6,237,702",3,"$6,638,908",https://www.the-numbers.com/movies/production-company/Shenghua-Entertainment
2611,Neue Constantin,"$6,217,413",1,"$6,217,413",https://www.the-numbers.com/movies/production-company/Neue-Constantin
2612,Universal 1440 Entertainment,"$6,216,897",5,"$6,216,897",https://www.the-numbers.com/movies/production-company/Universal-1440-Entertainment
2613,Newfoundland and Labrador Film Development ,"$6,213,164",2,"$11,892,935",https://www.the-numbers.com/movies/production-company/Newfoundland-and-Labrador-Film-Development
2614,Bieber Time Films,"$6,206,566",1,"$32,226,781",https://www.the-numbers.com/movies/production-company/Bieber-Time-Films
2615,Island Def Jam Music Group,"$6,206,566",1,"$32,226,781",https://www.the-numbers.com/movies/production-company/Island-Def-Jam-Music-Group
2616,Telling Pictures,"$6,180,158",3,"$6,180,158",https://www.the-numbers.com/movies/production-company/Telling-Pictures
2617,Rink Rat,"$6,170,998",1,"$11,850,575",https://www.the-numbers.com/movies/production-company/Rink-Rat
2618,Screen Door,"$6,170,998",1,"$11,850,575",https://www.the-numbers.com/movies/production-company/Screen-Door
2619,Pearce,"$6,154,944",1,"$6,154,944",https://www.the-numbers.com/movies/production-company/Pearce
2620,Windfall Productions,"$6,115,824",1,"$33,222,314",https://www.the-numbers.com/movies/production-company/Windfall-Productions
2621,Double Negative Films,"$6,115,824",1,"$33,222,314",https://www.the-numbers.com/movies/production-company/Double-Negative-Films
2622,Rohit Shetty Productions,"$6,097,844",2,"$28,966,151",https://www.the-numbers.com/movies/production-company/Rohit-Shetty-Productions
2623,Level 1 Entertainment,"$6,090,172",2,"$6,590,172",https://www.the-numbers.com/movies/production-company/Level-1-Entertainment
2624,Filmstiftung NRW,"$6,087,991",7,"$55,691,384",https://www.the-numbers.com/movies/production-company/Filmstiftung-NRW
2625,New Zealand Film Commission,"$6,070,346",18,"$33,981,747",https://www.the-numbers.com/movies/production-company/New-Zealand-Film-Commission
2626,Endurance Pictures,"$6,069,605",2,"$6,756,412",https://www.the-numbers.com/movies/production-company/Endurance-Pictures
